queue_id,claim_id,topic_category,label,target_platforms,search_queries,preferred_modalities,status,candidate_post_url,candidate_asset_path,review_notes
QUEUE_000012,CLAIM_000012,policy_politics,false_misleading,x|youtube|tiktok,长晋高速客车侧翻致2死6重伤; 长晋高速客车侧翻致2死6重伤 图片; 长晋高速客车侧翻致2死6重伤 视频; 长晋高速客车侧翻致2死6重伤 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000013,CLAIM_000013,livelihood_economy,false_misleading,x|youtube|tiktok,广西贺州富川汛情; 广西贺州富川汛情 图片; 广西贺州富川汛情 视频; 广西贺州富川汛情 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000014,CLAIM_000014,livelihood_economy,false_misleading,x|youtube|tiktok,湖北宜昌水悦城积水; 湖北宜昌水悦城积水 图片; 湖北宜昌水悦城积水 视频; 湖北宜昌水悦城积水 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000015,CLAIM_000015,livelihood_economy,false_misleading,x|youtube|tiktok,深圳龙岗发洪水; 深圳龙岗发洪水 图片; 深圳龙岗发洪水 视频; 深圳龙岗发洪水 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000016,CLAIM_000016,livelihood_economy,false_misleading,x|youtube|tiktok,柳州地震相关; 柳州地震相关 图片; 柳州地震相关 视频; 柳州地震相关 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000017,CLAIM_000017,livelihood_economy,false_misleading,x|youtube|tiktok,近日重庆渝中游轮码头电缆自燃; 近日重庆渝中游轮码头电缆自燃 图片; 近日重庆渝中游轮码头电缆自燃 视频; 近日重庆渝中游轮码头电缆自燃 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000018,CLAIM_000018,livelihood_economy,false_misleading,x|youtube|tiktok,湖北襄阳特大暴雨致道路及车辆被淹; 湖北襄阳特大暴雨致道路及车辆被淹 图片; 湖北襄阳特大暴雨致道路及车辆被淹 视频; 湖北襄阳特大暴雨致道路及车辆被淹 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000019,CLAIM_000019,livelihood_economy,false_misleading,x|youtube|tiktok,重庆江边游轮起火; 重庆江边游轮起火 图片; 重庆江边游轮起火 视频; 重庆江边游轮起火 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000020,CLAIM_000020,livelihood_economy,false_misleading,x|youtube|tiktok,深圳灵活就业社保被停保; 深圳灵活就业社保被停保 图片; 深圳灵活就业社保被停保 视频; 深圳灵活就业社保被停保 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000021,CLAIM_000021,livelihood_economy,false_misleading,x|youtube|tiktok,抓蜈蚣致失明事件; 抓蜈蚣致失明事件 图片; 抓蜈蚣致失明事件 视频; 抓蜈蚣致失明事件 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000022,CLAIM_000022,livelihood_economy,false_misleading,x|youtube|tiktok,5月1日起医院取消24小时值班; 5月1日起医院取消24小时值班 图片; 5月1日起医院取消24小时值班 视频; 5月1日起医院取消24小时值班 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000023,CLAIM_000023,livelihood_economy,false_misleading,x|youtube|tiktok,重庆铜梁地震引发灾情; 重庆铜梁地震引发灾情 图片; 重庆铜梁地震引发灾情 视频; 重庆铜梁地震引发灾情 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000024,CLAIM_000024,livelihood_economy,false_misleading,x|youtube|tiktok,河南许昌举办夏季马拉松; 河南许昌举办夏季马拉松 图片; 河南许昌举办夏季马拉松 视频; 河南许昌举办夏季马拉松 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000025,CLAIM_000025,livelihood_economy,false_misleading,x|youtube|tiktok,海南高温系厄尔尼诺作祟降水创历史新低传言; 海南高温系厄尔尼诺作祟降水创历史新低传言 图片; 海南高温系厄尔尼诺作祟降水创历史新低传言 视频; 海南高温系厄尔尼诺作祟降水创历史新低传言 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000026,CLAIM_000026,livelihood_economy,false_misleading,x|youtube|tiktok,深圳超大医院遇冷、八万床位空置; 深圳超大医院遇冷、八万床位空置 图片; 深圳超大医院遇冷、八万床位空置 视频; 深圳超大医院遇冷、八万床位空置 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000027,CLAIM_000027,livelihood_economy,false_misleading,x|youtube|tiktok,河南焦作两县合并成立新的县级市; 河南焦作两县合并成立新的县级市 图片; 河南焦作两县合并成立新的县级市 视频; 河南焦作两县合并成立新的县级市 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000028,CLAIM_000028,livelihood_economy,false_misleading,x|youtube|tiktok,张飞古道已经重开消息; 张飞古道已经重开消息 图片; 张飞古道已经重开消息 视频; 张飞古道已经重开消息 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000029,CLAIM_000029,livelihood_economy,false_misleading,x|youtube|tiktok,广西某地倡议清明节视频缅怀先人; 广西某地倡议清明节视频缅怀先人 图片; 广西某地倡议清明节视频缅怀先人 视频; 广西某地倡议清明节视频缅怀先人 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000030,CLAIM_000030,livelihood_economy,false_misleading,x|youtube|tiktok,梅姨照片; 梅姨照片 图片; 梅姨照片 视频; 梅姨照片 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000031,CLAIM_000031,industry_economy,false_misleading,x|youtube|tiktok,河南蒜薹滞销弃收; 河南蒜薹滞销弃收 图片; 河南蒜薹滞销弃收 视频; 河南蒜薹滞销弃收 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000032,CLAIM_000032,industry_economy,false_misleading,x|youtube|tiktok,5月银行存款计息出新规; 5月银行存款计息出新规 图片; 5月银行存款计息出新规 视频; 5月银行存款计息出新规 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000033,CLAIM_000033,industry_economy,false_misleading,x|youtube|tiktok,重庆万州惊现大型砂金矿; 重庆万州惊现大型砂金矿 图片; 重庆万州惊现大型砂金矿 视频; 重庆万州惊现大型砂金矿 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000034,CLAIM_000034,industry_economy,false_misleading,x|youtube|tiktok,收割未成熟小麦作青贮饲料; 收割未成熟小麦作青贮饲料 图片; 收割未成熟小麦作青贮饲料 视频; 收割未成熟小麦作青贮饲料 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000035,CLAIM_000035,industry_economy,false_misleading,x|youtube|tiktok,近日四川绵阳游仙区一厂房大火; 近日四川绵阳游仙区一厂房大火 图片; 近日四川绵阳游仙区一厂房大火 视频; 近日四川绵阳游仙区一厂房大火 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000036,CLAIM_000036,industry_economy,false_misleading,x|youtube|tiktok,环保新规导致鸡蛋涨价; 环保新规导致鸡蛋涨价 图片; 环保新规导致鸡蛋涨价 视频; 环保新规导致鸡蛋涨价 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000037,CLAIM_000037,industry_economy,false_misleading,x|youtube|tiktok,四川德阳千亩农业基地被查; 四川德阳千亩农业基地被查 图片; 四川德阳千亩农业基地被查 视频; 四川德阳千亩农业基地被查 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000038,CLAIM_000038,industry_economy,false_misleading,x|youtube|tiktok,库布其沙漠10万头黑猪让沙漠变绿洲; 库布其沙漠10万头黑猪让沙漠变绿洲 图片; 库布其沙漠10万头黑猪让沙漠变绿洲 视频; 库布其沙漠10万头黑猪让沙漠变绿洲 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000039,CLAIM_000039,technology_narrative,false_misleading,x|youtube|tiktok,天津突发8.8级地震; 天津突发8.8级地震 图片; 天津突发8.8级地震 视频; 天津突发8.8级地震 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000040,CLAIM_000040,technology_narrative,false_misleading,x|youtube|tiktok,多地试点开征新能源汽车里程税; 多地试点开征新能源汽车里程税 图片; 多地试点开征新能源汽车里程税 视频; 多地试点开征新能源汽车里程税 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000041,CLAIM_000041,technology_narrative,false_misleading,x|youtube|tiktok,假救护车非法转运; 假救护车非法转运 图片; 假救护车非法转运 视频; 假救护车非法转运 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000042,CLAIM_000042,technology_narrative,false_misleading,x|youtube|tiktok,中国女篮被刑拘; 中国女篮被刑拘 图片; 中国女篮被刑拘 视频; 中国女篮被刑拘 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000043,CLAIM_000043,technology_narrative,false_misleading,x|youtube|tiktok,珠峰安装电梯图文视频; 珠峰安装电梯图文视频 图片; 珠峰安装电梯图文视频 视频; 珠峰安装电梯图文视频 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000044,CLAIM_000044,technology_narrative,false_misleading,x|youtube|tiktok,无人快递车吵架; 无人快递车吵架 图片; 无人快递车吵架 视频; 无人快递车吵架 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000045,CLAIM_000045,technology_narrative,false_misleading,x|youtube|tiktok,大雁塔玄奘铜像长满青苔; 大雁塔玄奘铜像长满青苔 图片; 大雁塔玄奘铜像长满青苔 视频; 大雁塔玄奘铜像长满青苔 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000046,CLAIM_000046,industry_economy,false_misleading,x|youtube|tiktok,连云港海关查获46亿元稀土走私案; 连云港海关查获46亿元稀土走私案 图片; 连云港海关查获46亿元稀土走私案 视频; 连云港海关查获46亿元稀土走私案 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000047,CLAIM_000047,livelihood_economy,false_misleading,x|youtube|tiktok,成都崇州6人遇害案件; 成都崇州6人遇害案件 图片; 成都崇州6人遇害案件 视频; 成都崇州6人遇害案件 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000048,CLAIM_000048,livelihood_economy,false_misleading,x|youtube|tiktok,山东日照观光列车意外冲入大海; 山东日照观光列车意外冲入大海 图片; 山东日照观光列车意外冲入大海 视频; 山东日照观光列车意外冲入大海 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000049,CLAIM_000049,livelihood_economy,false_misleading,x|youtube|tiktok,重庆荣昌发生4.8级地震; 重庆荣昌发生4.8级地震 图片; 重庆荣昌发生4.8级地震 视频; 重庆荣昌发生4.8级地震 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000050,CLAIM_000050,livelihood_economy,false_misleading,x|youtube|tiktok,129岁老夫妻相恋100年; 129岁老夫妻相恋100年 图片; 129岁老夫妻相恋100年 视频; 129岁老夫妻相恋100年 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
TRUE_QUEUE_000001,CLAIM_000001_TRUE,policy_politics,true_verified,other|youtube|x,九华山因有人露营失温去世导致封山 官方 通知 政策; 九华山因有人露营失温去世导致封山 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000002,CLAIM_000002_TRUE,policy_politics,true_verified,other|youtube|x,免摇号包京牌无车报废？ 官方 通知 政策; 免摇号包京牌无车报废？ site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000003,CLAIM_000003_TRUE,policy_politics,true_verified,other|youtube|x,5月1日起驾考科目加项，难度翻倍 官方 通知 政策; 5月1日起驾考科目加项，难度翻倍 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000004,CLAIM_000004_TRUE,policy_politics,true_verified,other|youtube|x,四川绵阳北川发生重大交通事故致3人死亡 官方 通知 政策; 四川绵阳北川发生重大交通事故致3人死亡 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000005,CLAIM_000005_TRUE,policy_politics,true_verified,other|youtube|x,凭车牌直接上高速 官方 通知 政策; 凭车牌直接上高速 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000006,CLAIM_000006_TRUE,policy_politics,true_verified,other|youtube|x,国资委46号令重新核算养老金 官方 通知 政策; 国资委46号令重新核算养老金 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000007,CLAIM_000007_TRUE,policy_politics,true_verified,other|youtube|x,青岛景区清明免票通知 官方 通知 政策; 青岛景区清明免票通知 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000008,CLAIM_000008_TRUE,policy_politics,true_verified,other|youtube|x,4月1日出台新规，全国严查后排安全带 官方 通知 政策; 4月1日出台新规，全国严查后排安全带 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000009,CLAIM_000009_TRUE,policy_politics,true_verified,other|youtube|x,70岁老人就医新规 官方 通知 政策; 70岁老人就医新规 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000010,CLAIM_000010_TRUE,policy_politics,true_verified,other|youtube|x,江西丰城高速特大事故73人死亡 官方 通知 政策; 江西丰城高速特大事故73人死亡 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000011,CLAIM_000011_TRUE,policy_politics,true_verified,other|youtube|x,长晋高速侧翻事故 官方 通知 政策; 长晋高速侧翻事故 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000012,CLAIM_000012_TRUE,policy_politics,true_verified,other|youtube|x,长晋高速客车侧翻致2死6重伤 官方 通知 政策; 长晋高速客车侧翻致2死6重伤 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 通知 政策 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000013,CLAIM_000013_TRUE,livelihood_economy,true_verified,other|youtube|x,广西贺州富川汛情 官方 回应 民生; 广西贺州富川汛情 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 回应 民生 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000014,CLAIM_000014_TRUE,livelihood_economy,true_verified,other|youtube|x,湖北宜昌水悦城积水 官方 回应 民生; 湖北宜昌水悦城积水 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 回应 民生 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
TRUE_QUEUE_000015,CLAIM_000015_TRUE,livelihood_economy,true_verified,other|youtube|x,深圳龙岗发洪水 官方 回应 民生; 深圳龙岗发洪水 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn; 官方 回应 民生 site:gov.cn OR site:xinhuanet.com OR site:people.com.cn OR site:cctv.com OR site:news.cn,authority_page+screenshot|title+thumbnail|post_text+image,todo,,,Find an authoritative same-topic true/verified item; do not accept without a real URL and visual asset.
